song_and_artist,cluster
The Way You Make Me Feel - 2012 Remaster by Michael Jackson,9
You by Five Finger Death Punch,5
"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover"" by James Bay",1
While You Were Sleeping by Vincent & A Secret,4
Officially Missing You by Tamia,3
The Space Program by A Tribe Called Quest,2
A Case of You by Joni Mitchell,1
Thinking About You - DubVision Remix by Axwell /\ Ingrosso,5
Thinking About You - DubVision Remix by DubVision,5
Translucent by Oscar Collin,4
Do You Believe in Magic? by The Lovin' Spoonful,9
You are my world by Yoon Mirae,1
Nobody Like You by Little Mix,1
Summer on You (Club Edit) by Sam Feldt,0
Summer on You (Club Edit) by Lucas & Steve,0
Summer on You (Club Edit) by Wulf,0
Gotta Be You by One Direction,9
You Make It Real by James Morrison,9
Hold You in My Arms by Ray LaMontagne,1
I Run To You by Lady A,9
I Don't Fuck With You by Big Sean,9
I Don't Fuck With You by E-40,9
Wasting My Young Years by London Grammar,1
Teach Me How to Dance with You - Acoustic by Causes,1
Night People by You Me At Six,5
Thank You - 1990 Remaster by Led Zeppelin,1
She's American by The 1975,9
Disarm You (feat. Ilsey) by Kaskade,5
Disarm You (feat. Ilsey) by Ilsey,5
Dirty Money by Tory Lanez,1
Go On Girl by Ne-Yo,9
"Say You, Say Me by Lionel Richie",1
Music In You by Sebastien,5
Music In You by Boy Tedson,5
Be With You by AKMU,5
"Take My Leave Of You - From ""Broadchurch"" Music From The Original TV Series by Ólafur Arnalds",4
"Take My Leave Of You - From ""Broadchurch"" Music From The Original TV Series by Arnór Dan",4
Wish You Were On It by Florida Georgia Line,9
Who Are You - Acoustic by Fifth Harmony,1
What Are You Waiting For? by Nickelback,3
The Idea of You by Nine Inch Nails,3
 by ,4
Stuck On You by Lionel Richie,1
Under You by Nick Jonas,9
"I Know You - From The ""Fifty Shades Of Grey"" Soundtrack by Skylar Grey",1
I Believe in You by Michael Bublé,9
I Want to Write You a Song by One Direction,1
Would I Lie to You - Festival Mix by David Guetta,3
Would I Lie to You - Festival Mix by Cedric Gervais,3
Would I Lie to You - Festival Mix by Chris Willis,3
Make It with You by Bread,1
When You Say Nothing At All by Ronan Keating,3
Thinking Of You by Mabel,9
Days With You by Snakehips,5
Days With You by Sinéad Harnett,5
Sure Be Cool If You Did by Blake Shelton,9
I Put A Spell On You by Annie Lennox,1
Only for You by Heartless Bastards,9
You Are So Beautiful by Joe Cocker,1
Marry You by Diamond Platnumz,9
Marry You by Ne-Yo,9
What Are You Listening To? by Chris Stapleton,3
Call You Home - Faul & Wad Ad Remix by Kelvin Jones,1
Call You Home - Faul & Wad Ad Remix by Faul & Wad,1
You Go To My Head by Art Pepper,1
Put My Hands On You by DEAN,9
Put My Hands On You by Anderson .Paak,9
So I Can Have You Back by Joe,1
All for You by French Montana,2
All for You by Wiz Khalifa,2
All for You by Machine Gun Kelly,2
All for You by Snoop Dogg,2
All By Myself by Céline Dion,1
YOU by Sean&Bobo,5
YOU by A Billion Robots,5
You Belong by The Avener,5
You Belong by Laura Gibson,5
High Off You by NOAHJVMES,5
Wonder If You Wonder by Witt Lowry,2
Free by Bleeker,3
Whatever You Want by Vasser,1
You by Keaton Henson,4
Someone Just Like You by The Franklin Electric,5
You Are My Sunshine by Jasmine Thompson,1
"Karma, You Got Owned by Tep No",5
I.M.Y (Miss You) by Kodak Black,5
There is No Me Without You by Perrin Lamb,1
Bad for You (feat. Nicki Minaj) by Meek Mill,2
Bad for You (feat. Nicki Minaj) by Nicki Minaj,2
For You by Marko Liv,0
For You by Dean Chalmers,0
All I See Is You by Meaku,1
Losing You by Alison Krauss,1
"I Am You, You Are Me by ZICO",5
Hey Now by London Grammar,1
Lay You Down by Nav Tre,5
rock + roll by EDEN,1
Just Like You by Falling In Reverse,9
I Could Have Told You by Bob Dylan,1
All About You by Hilary Duff,3
You Rascal You by Hanni El Khatib,2
What You Need by Bring Me The Horizon,5
Need You by FTampa,5
Need You by Sex Room,5
Miss Missing You by Fall Out Boy,5
Say You Will by Kanye West,1
If You Could See Me Now by The Script,9
Beside You by 5 Seconds of Summer,3
4am Flex by Tory Lanez,2
Muddy Waters by LP,1
"Still Falling For You - From ""Bridget Jones's Baby"" by Ellie Goulding",1
Bout You by Marian Hill,1
All with You by TAEYEON,1
Let Me Hold You (feat. Omarion) by Bow Wow,9
Let Me Hold You (feat. Omarion) by Omarion,9
Runaway by City and Colour,3
He Was You by Mark Mancina,4
A Different You Original Mix - Original Mix by Tep No,9
A Different You Original Mix - Original Mix by Jessica Hart,9
Runnin' - Interlude by Kehlani,2
Sending You a Sunset by Kristian Bush,3
Someone Like You by Darling West,1
You by Nebbra,2
You by Mike Sabath,2
Where Have You Been by Rihanna,5
Like You (feat. Ciara) by Bow Wow,9
Like You (feat. Ciara) by Ciara,9
Lying from You by Linkin Park,5
Gary's Theme - 2003 Remastered Version by Bill Evans,4
"If You Leave - From ""Pretty In Pink"" by Orchestral Manoeuvres In The Dark",9
What You Want (feat. Total) by Mase,2
What You Want (feat. Total) by Total,2
Losing You by Solange,9
Gonna Make You Sweat (Everybody Dance Now) by C & C Music Factory,9
Blood Sweat & Tears by BTS,5
See You Again by Miley Cyrus,5
Fumes by EDEN,0
Fumes by gnash,0
Follow You Anywhere by Monica Heldal,1
Better With You by Austin Mahone,5
Life After You by Daughtry,0
Do You Feel It? by Chaos Chaos,9
 by ,4
Body Next to You by Ivy Mode,0
Kill You by Eminem,2
Dare You to Move by Switchfoot,3
Niggas by Kehlani,3
If It Makes You Happy by Sheryl Crow,9
You There by Aquilo,4
You Oughta Know - 2015 Remaster by Alanis Morissette,9
As You Are by Rag'n'Bone Man,2
All Eyes on You by St. Lucia,9
Without You - BBC Session by Oh Wonder,4
What Makes You Beautiful by Boyce Avenue,1
Leaving It Up to You by George Ezra,1
This Is How I Let You Down by The Franklin Electric,1
With You (feat. Quinn XCII) by ILLENIUM,9
With You (feat. Quinn XCII) by Quinn XCII,9
Wifin You by Montana of 300,3
Can You Stand The Rain by New Edition,1
All I Want for Christmas Is You by Michael Bublé,1
Phone Down by Erykah Badu,9
When I've Been Drinkin' by Jon Pardi,9
Hands off My Heart / Places You Go by MKTO,5
Miss You by trentemøller,4
What I Can't Put Down by Jon Pardi,9
Dirt off Your Shoulder / Lying From You by JAY-Z,2
Dirt off Your Shoulder / Lying From You by Linkin Park,2
Where You Are (feat. Wyred) by Sammy Adams,9
Where You Are (feat. Wyred) by Wyred,9
Dis Generation (feat. Busta Rhymes) by A Tribe Called Quest,9
Dis Generation (feat. Busta Rhymes) by Busta Rhymes,9
You Don't Know by Eminem,5
You Don't Know by 50 Cent,5
You Don't Know by Ca$his,5
You Don't Know by Lloyd Banks,5
Losing You by Aquilo,1
This Old Heart Of Mine (Is Weak For You) - Single Version / Mono by The Isley Brothers,9
For Those About to Rock (We Salute You) by AC/DC,0
What Do You Mean by Nafe Smallz,5
Gucci Polo by MadeinTYO,9
High by Tory Lanez,1
See You Tonight by Scotty McCreery,3
Last Night by Keyshia Cole,5
Last Night by Diddy,5
The Nearness of You by Joshua Redman,4
The Nearness of You by Brad Mehldau,4
Falling Into You - Acoustic by Hillsong Young & Free,9
Falling Into You - Acoustic by Melodie Wagner,9
About You Now by Meadowlark,1
You Again by Garrickson,1
You Again by Qole,1
You by Galantis,3
"Solid Wall of Sound (feat. Busta Rhymes, Jack White & Elton John) by A Tribe Called Quest",2
"Solid Wall of Sound (feat. Busta Rhymes, Jack White & Elton John) by Busta Rhymes",2
"Solid Wall of Sound (feat. Busta Rhymes, Jack White & Elton John) by Jack White",2
"Solid Wall of Sound (feat. Busta Rhymes, Jack White & Elton John) by Elton John",2
You Keep Hanging On by Joseph Arthur,1
Show You off (feat. Xuitcasecity) by Arman Cekin,5
Show You off (feat. Xuitcasecity) by Ellusive,5
Show You off (feat. Xuitcasecity) by Xuitcasecity,5
Don't You Cry For Me by Cobi,1
Close To You by Dreezy,5
Close To You by T-Pain,5
I Gave You All by Mumford & Sons,1
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016) by David Guetta,5
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016) by Zara Larsson,5
I Really Like You by Carly Rae Jepsen,9
Jealous (feat. Lexii Alijai) by Kehlani,2
Jealous (feat. Lexii Alijai) by Lexii Alijai,2
Trust In You by Lauren Daigle,3
All You Got by Prospectt,5
Hold You Down by Childish Gambino,9
Can You Hold Me by NF,5
Can You Hold Me by Britt Nicole,5
Take What You Want (feat. 5 Seconds of Summer) by ONE OK ROCK,3
Take What You Want (feat. 5 Seconds of Summer) by 5 Seconds of Summer,3
Never Believe You by Mavado,9
Without You by Harry Nilsson,1
Say What You Say by Eminem,2
Say What You Say by Dr. Dre,2
Never Gonna Give You Up by Rick Astley,9
All Signs Point to Lauderdale by A Day To Remember,3
What You Need by Seth Dyer,5
Where You Are - Acoustic by Hillsong Young & Free,5
You Can Get It If You Really Want by Jimmy Cliff,9
For You by Stitches,2
Everything About You by Ugly Kid Joe,9
I Can Almost See You by Hammock,7
Paris by The 1975,9
You by Nebbra,2
You by Mike Sabath,2
Plush by Stone Temple Pilots,3
Mom (feat. Kelli Trainor) by Meghan Trainor,5
Mom (feat. Kelli Trainor) by Kelli Trainor,5
Got You (Where I Want You) by The Flys,9
Rock with You by Pleasure P,9
Rock with You by Plies,9
Losing You by Ephixa,6
Losing You by Laura Brehm,6
The Way You Do The Things You Do by The Temptations,9
Never Forget You by William Singe,2
Still Loving You by Scorpions,3
You Could Be Happy by Snow Patrol,1
You by Bad Religion,3
Loving You (feat. Ty Dolla $ign) by Trey Songz,9
Loving You (feat. Ty Dolla $ign) by Ty Dolla $ign,9
Stronger Than You by NateWantsToBattle,3
I Want You to Want Me by Cheap Trick,1
Until You Were Gone (feat. Emily Warren) - Reez Remix by The Chainsmokers,3
Until You Were Gone (feat. Emily Warren) - Reez Remix by Tritonal,3
Until You Were Gone (feat. Emily Warren) - Reez Remix by Emily Warren,3
Until You Were Gone (feat. Emily Warren) - Reez Remix by Reez,3
Won't Let You Go by CMC$,0
Want You by Ayo Jay,9
I Remember You by Skid Row,3
This Is What You Came For - R3hab vs Henry Fong Remix by Calvin Harris,5
This Is What You Came For - R3hab vs Henry Fong Remix by Rihanna,5
This Is What You Came For - R3hab vs Henry Fong Remix by R3HAB,5
This Is What You Came For - R3hab vs Henry Fong Remix by Henry Fong,5
All I Ever Want Is You by Megan Davies,1
Kelly Rowland by MadeinTYO,2
Fall for You (Acoustic) by Secondhand Serenade,1
Back to You by WILD,9
Strong by London Grammar,1
As You Are (feat. Shy Carter) by Charlie Puth,9
As You Are (feat. Shy Carter) by Shy Carter,9
Great Are You Lord by All Sons & Daughters,1
You & I by Local Natives,6
Would You Go With Me by Josh Turner,9
My Life Would Suck Without You by Kelly Clarkson,3
I Want You by Kings of Leon,9
Savage by MadeinTYO,2
Wreck You by Lori McKenna,1
Habit Of You by Keith Urban,3
Made for You - Radio Edit by Alexander Cardinale,1
You by Oshea,5
Take Me Down by The Pretty Reckless,0
Got You Too by Griffin Stoller,5
Take You There by The Ready Set,9
Take You There by Kaptan,9
You Don't Own Me (feat. G-Eazy) by SAYGRACE,3
You Don't Own Me (feat. G-Eazy) by G-Eazy,3
Into You - Alex Ghenea Remix by Ariana Grande,9
Into You - Alex Ghenea Remix by Mac Miller,9
Into You - Alex Ghenea Remix by Alex Ghenea,9
Are You With Me by Easton Corbin,1
Feel For You by Diversion,6
Just a Friend to You by Meghan Trainor,1
I'll Show You by Justin Bieber,3
Prisoner by The Pretty Reckless,9
You Oughta Know by Alanis Morissette,0
I Miss You by Beyoncé,9
Baby You (feat. Jason Derulo) by The Game,2
Baby You (feat. Jason Derulo) by Jason Derulo,2
Are You Lost In The World Like Me? - KDA Made On 11/9 Version by Moby,5
Are You Lost In The World Like Me? - KDA Made On 11/9 Version by The Void Pacific Choir,5
"Baby, Let Me Follow You Down - Live at Royal Albert Hall, London, UK - May 26, 1966 by Bob Dylan",0
Got My Mind Set On You - Extended Version by George Harrison,0
You Could Be Mine by Guns N' Roses,3
You Wish by Nightmares On Wax,1
Missing You (feat. blvkkhvrt.) by Riot Ten,1
Missing You (feat. blvkkhvrt.) by blvkkhvrt.,1
Shake It For Me (feat. 2 Chainz) by Austin Mahone,1
Shake It For Me (feat. 2 Chainz) by 2 Chainz,1
Quite Like You by Andy Shauf,9
Come & Get It by Selena Gomez,5
Losing You to You by Hammock,4
Just the Way You Are by Billy Joel,1
Fall for You by Leela James,1
Miss You - HONNE Remix by James Hersey,5
Miss You - HONNE Remix by HONNE,5
Margaritaville by Jimmy Buffett,1
I Do (Cherish You) by 98º,1
For You - Bearcubs Remix by Gavin James,5
For You - Bearcubs Remix by Jack Ritchie,5
Do You There (feat. Marc E. Bassy) by Skizzy Mars,5
Do You There (feat. Marc E. Bassy) by Marc E. Bassy,5
Before You by The Ready Set,5
Before You by Karra,5
19 You + Me by Dan + Shay,3
Right By You (for Luna) by John Legend,1
It Was Always You by Maroon 5,9
Losing You - Live by Alison Krauss,1
Walk with You by The Franklin Electric,1
Be Like You by Finding Favour,3
Fix You by Vita Chambers,3
All You Never Say by Birdy,1
Sugar How You Get So Fly by Sugar Fix,5
If I Had You by Adam Lambert,5
You Really Got Me - 2015 Remaster by Van Halen,5
Without You by Adventure Club,5
Without You by Hunter Siegel,5
"You - From ""My Ex and Whys"" by Jona",1
I Will Follow You Into the Dark by Jasmine Thompson,1
You Only Live Once by YURI!!! on ICE,9
You Only Live Once by w.hatano,9
All I Want Is You by U2,3
Back For You by One Direction,3
Drive It Like You Stole It by Sing Street,5
They Didn't Believe Me by Beegie Adair,4
Just You by Puppet,6
Just You by Pierce Fulton,6
Wherever You Will Go by Charlene Soraia,1
Without You by Dillon Francis,5
Without You by Totally Enormous Extinct Dinosaurs,5
Right With You by Devault,3
Good For You by Selena Gomez,5
Good For You by A$AP Rocky,5
Living For You by King Topher,5
Living For You by Francis,5
Missing You by Tchami,9
Missing You by AC Slater,9
Missing You by Kaleem Taylor,9
I Doubt It (feat. Blackbear & Skizzy Mars) by Travis Mills,3
I Doubt It (feat. Blackbear & Skizzy Mars) by blackbear,3
I Doubt It (feat. Blackbear & Skizzy Mars) by Skizzy Mars,3
All Over You by Live,3
Her (Loving You) by Glades,3
I Miss You by blink-182,9
Way You Are (feat. Monty) by Fetty Wap,2
Way You Are (feat. Monty) by Monty,2
Alone With You by Jake Owen,9
"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih) by DJ Khaled",5
"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih) by Chris Brown",5
"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih) by August Alsina",5
"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih) by Future",5
"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih) by Jeremih",5
If You Could Only See by Tonic,5
Who I Am With You by Chris Young,3
You by Lost Kings,9
You by Katelyn Tarver,9
Beach - I Wanna Make You Mine by Will Joseph Cook,2
You Are My Sunshine (with Chris Stapleton) by Morgane Stapleton,1
You Are My Sunshine (with Chris Stapleton) by Chris Stapleton,1
You Are My Sunshine (with Chris Stapleton) by Southern Family,1
"Never Seen Anything ""Quite Like You"" by The Script",1
You Make Loving Fun - 2004 Remaster by Fleetwood Mac,5
How Can I Blame You by John Legend,9
To You by Andy Shauf,9
Tonight Looks Good on You by Jason Aldean,5
Forever You by Vincente M,4
You by Atmosphere,9
I Think Of You by Jeremih,9
I Think Of You by Chris Brown,9
I Think Of You by Big Sean,9
Since You Been Gone by Rainbow,0
Luh You by Anderson .Paak,2
Figured You Out by Nickelback,9
Come As You Are - Live by Nirvana,5
Who Do You Think Of? by M.O,5
Got You On My Mind by NF,5
Carry You Home by James Blunt,1
Sing For You by EXO,1
Put You On The Game by The Game,2
19 You + Me by Dan + Shay,3
Anywhere You Go (feat. Timmy Trumpet) by NERVO,9
Anywhere You Go (feat. Timmy Trumpet) by Timmy Trumpet,9
Mama Said Knock You Out by Five Finger Death Punch,5
Mama Said Knock You Out by Tech N9ne,5
Gotta Be You by Ameria,5
Never Forget You by Conor Maynard,3
The Letter by Kehlani,1
Dreaming Of You by Selena,1
Here You Come Again by Dolly Parton,1
Lay You Down Easy (feat. Sean Paul) by MAGIC!,9
Lay You Down Easy (feat. Sean Paul) by Sean Paul,9
For You (feat. Tin Sparrow) - Radio Edit by Marcus Layton,5
For You (feat. Tin Sparrow) - Radio Edit by Tin Sparrow,5
What You Waiting For by Gazzo,9
What You Waiting For by SUGARWHISKEY,9
You And I by Anjulie,3
Carry You Home by Zara Larsson,1
Intro : Boy Meets Evil by BTS,5
Forget About You by MAALA,9
Thank You for the Broken Heart by J Rice,9
Good To You by Marianas Trench,3
With You by Linkin Park,3
How Could You Leave Us by NF,2
A Little Death by The Neighbourhood,5
It Is Well (Live) by Bethel Music,1
It Is Well (Live) by Kristene DiMarco,1
Set You Free by MYMP,1
Missing You by Johnny Orlando,9
I Wish You Would by DJ Khaled,9
I Wish You Would by Kanye West,9
I Wish You Would by Rick Ross,9
When I Needed You by Carly Rae Jepsen,9
Twisted Transistor by Korn,5
Watch You Bleed by Five Finger Death Punch,3
Knuck If You Buck (feat. Lil' Scrappy) by Crime Mob,2
Knuck If You Buck (feat. Lil' Scrappy) by Lil Scrappy,2
Officially Missing You by Tamia,3
Pretty When You Cry by Lana Del Rey,5
The Ocean Chose You by Mark Mancina,4
They Reminisce Over You (T.R.O.Y.) by Pete Rock & C.L. Smooth,9
It Was Always You by Maroon 5,9
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version by Sean Paul,9
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version by Keyshia Cole,9
Me Minus You by Jerome Price,5
You & Me - Baauer Remix by Disclosure,5
You & Me - Baauer Remix by Eliza Doolittle,5
You & Me - Baauer Remix by Baauer,5
You & I by Colony House,9
Lie by BTS,5
Whistle (While You Work It) by Katy Tiz,9
All Around You by Sturgill Simpson,3
High On You by EDX,0
Still by Daughter,1
Every Time You Go Away - Radio Edit by Paul Young,9
Tongues by Joywave,5
Tongues by KOPPS,5
Leaving You by Corey Crowder,1
Only You by Joshua Radin,1
See You by Iggy,9
Shape of You by Ben Schuller,1
Kids... (feat. Andre 3000) by A Tribe Called Quest,9
Kids... (feat. Andre 3000) by André 3000,9
If You Could Read My Mind by Gordon Lightfoot,1
Without You by Nicky Jam,1
My Dilemma 2.0 by Selena Gomez & The Scene,5
You Remain by Kungs,5
You Remain by RITUAL,5
Into You (feat. Ashanti) by Fabolous,5
Into You (feat. Ashanti) by Ashanti,5
Act Like You Don't by Brooke Eden,3
I Write Sins Not Tragedies by Panic! At The Disco,5
I Got You - Acoustic by Bebe Rexha,5
You Spin Me Round (Like a Record) [Re-Recorded / Remastered] by Dead Or Alive,6
What Would You Do? by City High,2
Only You (feat. The Notorious B.I.G.) - Radio Mix by 112,9
Only You (feat. The Notorious B.I.G.) - Radio Mix by The Notorious B.I.G.,9
Unlove You by Jennifer Nettles,1
Shit On You by D12,2
Still Loving You (feat. Joe Nichols) by Meghan Patrick,9
Still Loving You (feat. Joe Nichols) by Joe Nichols,9
This Must Be My Dream by The 1975,9
You Know (feat. Allan Kingdom & Raekwon) by Flume,2
You Know (feat. Allan Kingdom & Raekwon) by Allan Kingdom,2
You Know (feat. Allan Kingdom & Raekwon) by Raekwon,2
Addicted to You by Shakira,9
Do You by Ne-Yo,5
I Don't Fuck With You by Big Sean,9
I Don't Fuck With You by E-40,9
Lean On You by Jung Yup,1
Do It Like A Dude by Jessie J,9
What You Want by THEY.,9
Giving It All (To You) by Haley & Michaels,1
Alive (feat. Coucheron) by Kehlani,9
Alive (feat. Coucheron) by Coucheron,9
Begin by BTS,5
A Girl Like You by Edwyn Collins,5
Woman by City and Colour,1
Be As You Are by Mike Posner,5
Falling For You by EXO,5
Melatonin (feat. Marsha Ambrosius & Yebba) by A Tribe Called Quest,9
Melatonin (feat. Marsha Ambrosius & Yebba) by Marsha Ambrosius,9
Melatonin (feat. Marsha Ambrosius & Yebba) by Yebba,9
Nobody Like You by Go-Jo,5
Nobody Like You by Emma Carn,5
You Don’t Know Me by Alison Krauss,1
Someone Like You by Cobrayama,1
Someone Like You by Gibbz,1
Where Are You Now by Mumford & Sons,1
See You In My Nightmares by Kanye West,5
See You In My Nightmares by Lil Wayne,5
Where You Belong by Jay Prince,9
Where You Belong by Jordan Rakei,9
Into You (feat. Tamia) - Main Mix by Fabolous,5
Into You (feat. Tamia) - Main Mix by Tamia,5
2! 3! by BTS,3
Need You Now by Lady A,9
Broke Down by Cole Swindell,3
Oh My God by The Pretty Reckless,3
Falling Into You - Studio Version by Hillsong Young & Free,9
Falling Into You - Studio Version by Melodie Wagner,9
Question Is by Tory Lanez,1
Find You (feat. Jake Reese) by Topic,9
Find You (feat. Jake Reese) by Jake Reese,9
I Know You Care by Ellie Goulding,1
On the Level by Leonard Cohen,1
For You by Snavs,9
Wish You Were Here by Pink Floyd,1
"Where You Belong - From ""Fifty Shades Of Grey"" Soundtrack by The Weeknd",5
If You by AILEE,9
Stupid for You by Waterparks,5
Like You by EXES,1
You Changed Me (feat. Chris Brown) by Jamie Foxx,2
You Changed Me (feat. Chris Brown) by Chris Brown,2
Just Wanna Be With You by High School Musical Cast,5
Just Wanna Be With You by Vanessa Hudgens,5
Just Wanna Be With You by Lucas Grabeel,5
Just Wanna Be With You by Zac Efron,5
Just Wanna Be With You by Olesya Rulin,5
Just Wanna Be With You by Disney,5
With You Tonight (Hasta El Amanecer) by Nicky Jam,5
Kiss You in the Morning by Michael Ray,9
Are You Down Down Down by Finn Pearce,2
Circles by EDEN,1
Can't Help Loving by Beegie Adair,4
Don't You Cry For Me - Acoustic by Cobi,1
Captivate You by Marmozets,3
어때 by DEAN,9
Lost by BTS,5
"Lord, I Need You - Live by Passion",0
"Lord, I Need You - Live by Chris Tomlin",0
Are You with Me - Dash Berlin Radio Edit by Lost Frequencies,9
BTS Cypher 4 by BTS,5
Show You Off by Dan + Shay,3
You & Me by Wahlstedt,9
Loners Blvd by Tory Lanez,1
Crush on You by Lil' Kim,5
21st Century Girl by BTS,9
What You Do To Me by Not Your Dope,5
What You Do To Me by Oly,5
The Real You by Three Days Grace,3
I Know What You Want (feat. Flipmode Squad) by Busta Rhymes,9
I Know What You Want (feat. Flipmode Squad) by Mariah Carey,9
I Know What You Want (feat. Flipmode Squad) by Flipmode Squad,9
Till I Met You by Angeline Quinto,1
You Might Think by The Cars,9
Point At You by Justin Moore,9
With You by Lyn,1
High off You by Yo Trane,2
"Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix by 112",9
"Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix by The Notorious B.I.G.",9
"Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix by Ma$e",9
Something About You by Next Of Kin,0
She Lays Down by The 1975,4
Do You Hear What I Hear? - Remastered 2006 by Bing Crosby,1
You & I by Colony House,9
Gwinnett by MadeinTYO,2
Who Needs You by The Orwells,3
Waiting for You (feat. Joanna Jones) by Unlike Pluto,9
Waiting for You (feat. Joanna Jones) by Joanna Jones,9
American Honey by Lady A,1
You (feat. Wiley) by Ed Sheeran,1
You (feat. Wiley) by Wiley,1
Do You Believe in Soulmates by josh pan,2
Dance Like Yo Daddy by Meghan Trainor,9
Drive (feat. Gray) by Jay Park,5
Drive (feat. Gray) by GRAY,5
Stick With You by Lucas Coly,2
Enough!! by A Tribe Called Quest,9
Whoa Whoa Whoa by Watsky,2
 by ,4
The Way You Let Me Down by Wes Mack,9
"You Mine (feat. Trey Songz, Jeremih & Future) by DJ Khaled",2
"You Mine (feat. Trey Songz, Jeremih & Future) by Trey Songz",2
"You Mine (feat. Trey Songz, Jeremih & Future) by Jeremih",2
"You Mine (feat. Trey Songz, Jeremih & Future) by Future",2
Thinking 'Bout You by Dua Lipa,5
When Can I See You by Babyface,9
Stigma by BTS,5
Only You (And You Alone) by The Platters,1
I Wanna Know You by Hannah Montana,9
I Wanna Know You by David Archuleta,9
Take You - Acoustic Version by Justin Bieber,1
When You Look Me In The Eyes by Jonas Brothers,3
Are You with Me - Dimaro Radio Edit by Lost Frequencies,5
Would You Still Be There by Of Mice & Men,9
Without You by N(VIXX),1
Without You by YEOEUN(MelodyDay),1
All I Wanna Do by Jay Park,2
Foolish Games by Jewel,4
You Send Me by Aretha Franklin,1
Shape of You by Fame on Fire,3
Mizzy C by City and Colour,9
You And I by Anarbor,9
Let You Go by A$AP Ferg,9
Bout You by Xuitcasecity,9
"Gotta Find You - From ""Camp Rock""/Soundtrack Version by Joe Jonas",9
"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978 by Cheap Trick",0
Next To You by Twista,5
Next To You by Jeremih,5
Will You by Litche,5
Will You by Loui Abell,5
Bet She Looks Like You by Nick Hakim,6
The Motive Used to Be the Melody by Sango,1
The Motive Used to Be the Melody by Xavier Omär,1
Everything About You by One Direction,9
Are You Leaving With Him by Luke Bryan,3
Wanted by Kehlani,2
You Know (feat. YFN Lucci) by Meek Mill,3
You Know (feat. YFN Lucci) by YFN Lucci,3
Casual Party by Band of Horses,3
Hear You Say by Joyzu,0
Hear You Say by Olivia Reid,0
MAMA by BTS,3
Killing Time by City and Colour,3
A Song for You by Donny Hathaway,1
You Remind Me by David Correy,9
I Never Told You by Colbie Caillat,3
Only You by Matthew Perryman Jones,1
Am I Wrong by BTS,9
Close to You by MIA GLADSTONE,5
Woman Up by Meghan Trainor,5
As You Wake Up - Acoustic by Kelvin Jones,1
(You Drive Me) Crazy - The Stop Remix! by Britney Spears,9
You&I by Kim Jong Wan of NELL,1
Never Let You Go by Justin Bieber,9
Miss You by Mura Masa,1
Are You Alone by Alee,3
Crushed by Gangsigns,0
Crushed by I$$A,0
You Are My Summer by La+ch,6
You Are My Summer by Coleman Hell,6
You Are My Summer by Jayme,6
With You (Jai Wolf Remix) by Dirty South,9
With You (Jai Wolf Remix) by FMLYBND,9
You by Candlebox,3
Mad About You by Koni,0
Mad About You by Danelle Sandoval,0
You by Sync,4
Do You Like It by Victoria Monét,2
Need You by Bosx1ne,1
Need You by John Roa,1
Need You by Skusta Clee,1
Need You by Emcee Rhenn,1
Need You by Flow G,1
Need You by Bullet-D,1
Need You by Kent Mnl,1
Blind to You by Collie Buddz,2
What If I Was Nothing by All That Remains,3
The Day I Met You by Belly,1
How Do You Want It by 2Pac,9
A 1000 Times by Hamilton Leithauser + Rostam,3
Watch Me Do by Meghan Trainor,5
Bool'n by MadeinTYO,9
You by Manwolves,1
What You Need - Mielo Remix by BAYNK,1
What You Need - Mielo Remix by Mielo,1
Give You What You Like by Avril Lavigne,5
Unconditional by Kehlani,5
Follow You Home by Nickelback,9
Caught Up In You by 38 Special,5
Foxey Lady by Jimi Hendrix,5
Miss You by Nickelback,9
You Know It by Colony House,3
Have You Ever by Brandy,1
Bright by Kehlani,1
Baby Can I Hold You by Tracy Chapman,9
You & I - Radio Mix by Sons Of Maria,9
The Way You Move by Lindal,9
Kindly Calm Me Down by Meghan Trainor,5
• Better When You Lie by Jazz Cartier,5
No Good For You by Meghan Trainor,9
Still Falling For You - Laibert Remix by Ellie Goulding,9
Still Falling For You - Laibert Remix by Laibert,9
Someone Else Calling You Baby by Luke Bryan,3
Drive You Home by Sam Feldt,9
Drive You Home by The Him,9
Drive You Home by The Donnies The Amys,9
Treaty by Leonard Cohen,7
The Walk by Mayer Hawthorne,5
Gotta Have You by The Weepies,1
Solo (feat. Hoody) by Jay Park,9
Solo (feat. Hoody) by Hoody,9
Taking You There by BROODS,1
Dedicated To You by Freddie Hubbard,4
Fool for You by Kilter,9
